Title,Keyword,Search Type,Product Type,Mean,Median,Mode,Mode Freq,Std Dev,Max,Min,Percentile25,Percentile75
Revenue,,Organic,All,11476.58,1090.09,9.99,322.0,42711.99,1749582.0,0.03,197.94,6151.2
Prices,,Organic,All,49.99,17.9,9.99,6950.0,144.46,15017.4,0.01,11.99,39.89
Rating,,Organic,All,4.18,4.4,4.5,13342.0,0.99,5.0,0.0,4.1,4.6
Reviews Count,,Organic,All,584.88,44.0,1.0,6791.0,2167.55,88643.0,1.0,7.0,281.0
Amount Discounted,,Organic,All,6.34,2.99,1.0,1469.0,16.76,620.0,-3.51,1.2,5.9
Percent Discounted,,Organic,All,0.21,0.17,0.1,205.0,0.14,1.0,-0.47,0.1,0.29
Revenue,,Organic,Best Seller,157858.0,35777.68,388238.95,7.0,251629.5,1749582.0,9.99,9410.58,195874.33
Prices,,Organic,Best Seller,15.63,12.99,9.99,61.0,10.61,72.0,3.9,9.99,15.95
Rating,,Organic,Best Seller,4.39,4.4,4.4,86.0,0.31,5.0,0.0,4.3,4.5
Reviews Count,,Organic,Best Seller,8658.95,3701.5,789.0,9.0,11295.71,71518.0,1.0,782.25,13079.0
Amount Discounted,,Organic,Best Seller,4.09,2.4,1.0,15.0,4.28,24.0,0.5,1.5,4.5
Percent Discounted,,Organic,Best Seller,0.19,0.18,0.1,6.0,0.1,0.53,0.06,0.1,0.23
Revenue,,Organic,Past Month Sales Volume,33625.68,6365.1,79.92,20.0,87660.56,1749582.0,2.99,1261.53,27423.38
Prices,,Organic,Past Month Sales Volume,17.0,13.59,9.99,1519.0,16.04,446.0,0.01,9.99,16.99
Rating,,Organic,Past Month Sales Volume,4.39,4.4,4.5,2780.0,0.39,5.0,0.0,4.3,4.6
Reviews Count,,Organic,Past Month Sales Volume,1998.36,454.0,8.0,91.0,4499.42,71518.0,1.0,97.0,1802.0
Amount Discounted,,Organic,Past Month Sales Volume,4.41,2.0,1.0,510.0,7.82,84.5,0.4,1.0,4.0
Percent Discounted,,Organic,Past Month Sales Volume,0.19,0.16,0.1,75.0,0.13,1.0,0.05,0.1,0.25
Revenue,,Organic,Prime,12624.01,1357.0,9.99,302.0,44723.75,1749582.0,1.98,236.0,7307.62
Prices,,Organic,Prime,39.14,15.99,9.99,6722.0,115.41,15017.4,0.98,10.99,32.99
Rating,,Organic,Prime,4.26,4.4,4.5,12310.0,0.8,5.0,0.0,4.2,4.6
Reviews Count,,Organic,Prime,657.62,60.0,1.0,4030.0,2278.34,71518.0,1.0,11.0,349.0
Amount Discounted,,Organic,Prime,6.0,2.91,1.0,1438.0,14.93,620.0,-3.51,1.11,5.5
Percent Discounted,,Organic,Prime,0.2,0.17,0.1,200.0,0.14,0.78,-0.47,0.1,0.28
Revenue,,Paid,All,13397.16,1522.73,4485.96,13.0,52449.33,1212977.28,6.99,294.0,7122.87
Prices,,Paid,All,59.28,25.99,9.99,172.0,135.23,4376.98,4.88,13.99,56.99
Rating,,Paid,All,4.2,4.4,4.5,634.0,1.01,5.0,0.0,4.2,4.6
Reviews Count,,Paid,All,536.67,43.0,1.0,215.0,2080.58,45861.0,1.0,9.0,274.0
Amount Discounted,,Paid,All,8.86,4.0,1.0,57.0,17.84,287.5,0.5,2.0,10.0
Percent Discounted,,Paid,All,0.18,0.15,0.19,17.0,0.12,0.74,0.05,0.09,0.21
Revenue,,Paid,Best Seller,96907.38,17584.65,727.35,1.0,211299.54,780903.12,727.35,862.92,90619.2
Prices,,Paid,Best Seller,16.62,11.99,11.19,2.0,11.42,50.29,7.99,9.99,16.99
